"ppm","intensity"
14.9984769344886,721408
14.9983206452224,40960
14.9981643559562,-481536
14.9980080666901,-91136
14.9978517774239,1395968
14.9976954881577,3417856
14.9975391988916,5178112
14.9973829096254,6262784
14.9972266203592,6801408
14.997070331093,7165184
14.9969140418269,7569408
14.9967577525607,7890944
14.9966014632945,7792384
14.9964451740284,7055872
14.9962888847622,5845504
14.996132595496,4595968
14.9959763062299,3627776
14.9958200169637,2941440
14.9956637276975,2374400
14.9955074384313,1751552
14.9953511491652,806656
14.995194859899,-740608
14.9950385706328,-2750976
14.9948822813667,-4480768
14.9947259921005,-5141504
14.9945697028343,-4589312
14.9944134135682,-3250688
14.994257124302,-1555200
14.9941008350358,217600
14.9939445457696,1711360
14.9937882565035,2604032
14.9936319672373,2950144
14.9934756779711,3048192
14.993319388705,3000832
14.9931630994388,2827776
14.9930068101726,2870016
14.9928505209065,3473152
14.9926942316403,4217600
14.9925379423741,4139008
14.9923816531079,2913024
14.9922253638418,1251840
14.9920690745756,-78080
14.9919127853094,-972544
14.9917564960433,-1468672
14.9916002067771,-1329920
14.9914439175109,-715264
14.9912876282448,-566272
14.9911313389786,-1493248
14.9909750497124,-2705408
14.9908187604462,-2895360
14.9906624711801,-1954816
14.9905061819139,-993280
14.9903498926477,-783360
14.9901936033816,-1039104
14.9900373141154,-1274624
14.9898810248492,-1517312
14.9897247355831,-1864960
14.9895684463169,-2021632
14.9894121570507,-1719296
14.9892558677845,-1195776
14.9890995785184,-852736
14.9889432892522,-682752
14.988786999986,-380416
14.9886307107199,139776
14.9884744214537,615424
14.9883181321875,796160
14.9881618429214,755712
14.9880055536552,795904
14.987849264389,1060096
14.9876929751228,1287936
14.9875366858567,1101568
14.9873803965905,580608
14.9872241073243,306176
14.9870678180582,652544
14.986911528792,1297664
14.9867552395258,1741056
14.9865989502597,2037504
14.9864426609935,2544640
14.9862863717273,3115520
14.9861300824611,3126016
14.985973793195,2358528
14.9858175039288,1300224
14.9856612146626,415232
14.9855049253965,-399360
14.9853486361303,-1369088
14.9851923468641,-2245888
14.985036057598,-2482944
14.9848797683318,-1786624
14.9847234790656,-271360
14.9845671897994,1689344
14.9844109005333,3517440
14.9842546112671,4559616
14.9840983220009,4499712
14.9839420327348,3633408
14.9837857434686,2571264
14.9836294542024,1725696
14.9834731649363,1167104
14.9833168756701,809984
14.9831605864039,559872
14.9830042971378,341760
14.9828480078716,132096
14.9826917186054,-66816
14.9825354293392,-306432
14.9823791400731,-609536
14.9822228508069,-761856
14.9820665615407,-376576
14.9819102722746,661760
14.9817539830084,1953024
14.9815976937422,2952960
14.9814414044761,3526912
14.9812851152099,3937792
14.9811288259437,4320768
14.9809725366775,4378624
14.9808162474114,3722240
14.9806599581452,2429184
14.980503668879,1115136
14.9803473796129,373504
14.9801910903467,175360
14.9800348010805,-88832
14.9798785118144,-942080
14.9797222225482,-2249216
14.979565933282,-3335424
14.9794096440158,-3587328
14.9792533547497,-2896640
14.9790970654835,-1639168
14.9789407762173,-364544
14.9787844869512,517376
14.978628197685,889088
14.9784719084188,861184
14.9783156191527,646912
14.9781593298865,552960
14.9780030406203,947200
14.9778467513541,1939200
14.977690462088,3055104
14.9775341728218,3559936
14.9773778835556,3269632
14.9772215942895,2738432
14.9770653050233,2444288
14.9769090157571,2151424
14.976752726491,1439232
14.9765964372248,549376
14.9764401479586,169216
14.9762838586924,524288
14.9761275694263,1207808
14.9759712801601,1861632
14.9758149908939,2473472
14.9756587016278,2953216
14.9755024123616,2945280
14.9753461230954,2272768
14.9751898338293,1178624
14.9750335445631,-44032
14.9748772552969,-1300736
14.9747209660307,-2443264
14.9745646767646,-3165184
14.9744083874984,-3357184
14.9742520982322,-3229696
14.9740958089661,-2897664
14.9739395196999,-2211328
14.9737832304337,-1222400
14.9736269411676,-420608
