sample_name_q,auc_q,sample_name_r,auc_r
AF11116_Q1,1828677024425.5847,AF11116_R1,929852662010.9224
AF11116_Q2,1840746322999.4688,AF11116_R2,932034660364.3923
AF59166_Q1,2548726985461.976,AF59166_R1,1643450991624.8103
AF59166_Q2,2542192792900.7344,AF59166_R2,1627916826865.8252
AF60343_Q1,1824243582828.5527,AF60343_R1,928450255321.5916
AF60343_Q2,1828557974588.0,AF60343_R2,929196682409.9667
AF60657_Q1,2185375296541.2104,AF60657_R1,1328253803425.017
AF60657_Q2,2197236093450.6123,AF60657_R2,1333733884177.215
AF61065_Q1,2635112384180.92,AF61065_R1,1796908864807.8289
AF61065_Q2,2614622557451.807,AF61065_R2,1794859121646.1536
AF61396_Q1,1429634636253.2654,AF61396_R1,455249883384.7393
AF61396_Q2,1431248612702.5974,AF61396_R2,461643744120.2481
AF61728_Q1,1914831366314.312,AF61728_R1,1009449531370.2334
AF61728_Q2,1890182308227.609,AF61728_R2,1016570526847.9177
AF61894_Q1,2067430458643.0933,AF61894_R1,1171397526232.439
AF61894_Q2,2055851252218.0815,AF61894_R2,1184308014649.165
AF62333_Q1,1844596887355.5957,AF62333_R1,965905143607.9705
AF62333_Q2,1832260104322.3008,AF62333_R2,959860056880.2421
AF62544_Q1,1592289721114.5571,AF62544_R1,700744133547.2015
AF62544_Q2,1586883973081.7915,AF62544_R2,696013770449.7783
AF62730_Q1,1403818619107.5913,AF62730_R1,492808547594.7733
AF62730_Q2,1387270216180.4858,AF62730_R2,488834864408.4554
AF62776_Q1,2098504767447.2754,AF62776_R1,1317982475185.8208
AF62776_Q2,2116266377464.1953,AF62776_R2,1309922189313.4924
AF63068_Q1,2033660883036.479,AF63068_R1,1155308127877.7546
AF63068_Q2,2032422440177.2935,AF63068_R2,1159607859255.7173
AF63449_Q1,1225080211831.4568,AF63449_R1,320624956333.1024
AF63449_Q2,1235447822026.1052,AF63449_R2,317730420503.9885
AF63540_Q1,1321056776876.5303,AF63540_R1,404441424933.87213
AF63540_Q2,1319897416339.7407,AF63540_R2,406582992859.16406
AF64264_Q1,1606098970335.7112,AF64264_R1,715523607651.7988
AF64264_Q2,1607384341471.9067,AF64264_R2,703961401783.7336
AF64518_Q1,2014457427791.489,AF64518_R1,1180898592071.4565
AF64518_Q2,2043680679148.3486,AF64518_R2,1173934664165.3076
AF64940_Q1,2337041105309.1836,AF64940_R1,1493533786147.3545
AF64940_Q2,2313097804379.505,AF64940_R2,1466932495363.3135
AF64966_Q1,2002941907293.7473,AF64966_R1,1158679093918.864
AF64966_Q2,1971965209246.7476,AF64966_R2,1158191449664.7886
AF65227_Q1,1560863439456.0266,AF65227_R1,675478597740.7295
AF65227_Q2,1580010985376.853,AF65227_R2,671612630287.1877
AF65293_Q1,1568240918938.6997,AF65293_R1,674228392883.8672
AF65293_Q2,1567623756864.081,AF65293_R2,683216258500.1318
AF65947_Q1,2870766862879.52,AF65947_R1,2106747044181.4663
AF65947_Q2,2916939550584.2017,AF65947_R2,2108945283860.6443
AF66341_Q1,1994899123033.2607,AF66341_R1,1149368924279.166
AF66341_Q2,1979519492768.0256,AF66341_R2,1138513833025.8833
AF66389_Q1,2464490747331.2505,AF66389_R1,1658048090489.6519
AF66389_Q2,2459317289911.282,AF66389_R2,1618977071588.3303
AF67124_Q1,2736535160504.2563,AF67124_R1,1929639442745.6697
AF67124_Q2,2725237139250.116,AF67124_R2,1931522822984.7866
AF67866_Q1,1917078299002.6426,AF67866_R1,1123668976118.6987
AF67866_Q2,1963800812512.586,AF67866_R2,1135494122706.176
AWAC121_Q1,1626524364872.2551,AWAC121_R1,757208518775.6034
AWAC121_Q2,1642853929296.5034,AWAC121_R2,754355927616.8356
AWAC128_Q1,1196002259564.557,AWAC128_R1,289811066423.5504
AWAC128_Q2,1188831376024.9502,AWAC128_R2,282229744210.07605
AWAC12_Q1,1863658956862.15,AWAC12_R1,1013993350622.4207
AWAC12_Q2,1862923118898.2322,AWAC12_R2,1018826127736.2743
AWAC36_Q1,1280418571846.727,AWAC36_R1,380514557850.93787
AWAC36_Q2,1306437433014.4116,AWAC36_R2,381390528854.4607
AWAC74_Q1,1413763593635.0518,AWAC74_R1,520451956996.31805
AWAC74_Q2,1409979646883.295,AWAC74_R2,510738311440.71533
CS_20_Q1,2130251190994.956,CS_20_R1,1338862167212.1226
CS_20_Q2,2173680397797.9614,CS_20_R2,1338879278802.7651
